post_link,post_copy,post_date,likes,comments,shares,has_media,media_type,media_url
https://www.linkedin.com/feed/update/urn:li:activity:7384247441057026049/,"Your calendar is full. Buyers say they're interested. Your board is patient (for now). Your team believes the deals are coming. You're dying. You just don't know it yet. Pipeline isn't revenue. Interest isn't commitment. Meetings aren't momentum. Real momentum looks nothing like your dashboard. Real momentum means: Deals close when you say they will You forecast with accuracy, not hope Your sales cycle is shrinking, not stretching Buyers give you budget, not ""let's circle back in Q2"" Your champions have power, not just enthusiasm Here's the test: ""If we froze all new outbound today, would we still close deals next quarter?"" If the answer is no, you don't have momentum. You have activity. What to do: 1️⃣ If a deal has been in your pipeline for 6+ months, it's not a deal. Kill it. 2️⃣ Stop counting ""opportunities."" Start counting real buying signals. Budget approval. Legal engaged. Implementation timeline agreed. 3️⃣ Measure time-to-close, not pipeline size. Ask yourself: ""What would have to be true for this buyer to sign in the next 30 days?"" If you can't answer that, you're not managing a sales process. You're managing hope. Fake momentum kills startups slowly. You burn cash thinking you're close. You hire thinking growth is coming. You wait thinking patience will pay off. Then you run out of runway wondering what happened. Real momentum is uncomfortable. It forces decisions. It demands focus. It exposes what's not working. But it's the only thing that keeps you alive. Stop celebrating activity. Start measuring velocity. 🚀",1w,17,4,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7384188974623379456/,"You just spent $50K acquiring a customer. And you handed them to a CS team with no incentive to expand the account. This is the dumbest thing health tech startups do. I've seen companies obsess over optimizing their sales funnel—every email sequence, every demo conversion rate, every objection handler—while completely ignoring the expansion motion sitting inside their existing accounts. But what about customer success? Why is it an afterthought? Do you know what customer success actually does? Damage control (keep them from churning) Support escalation (fix problems) Relationship maintenance (check-in calls) What CS should actually be: Your highest-ROI sales channel. Think about it: They're already in the account They have trust and access They see usage patterns and adoption gaps They know where expansion opportunities hide They understand the political landscape But most CS teams can't sell because: ☑️ They're not incentivized to (flat salary, no commission) ☑️ They're not trained to (hired for empathy, not commercial acumen) ☑️ They're not measured on it (NRR is a company metric, not a personal one) ☑️ They don't have the tools (no expansion playbooks, no pricing authority) The companies that are growing like weeds? Comp CS on net revenue retention, not just renewal rates. Train CS reps to identify and qualify expansion signals. Give CS the authority to propose scope changes without ""looping in sales."" Build expansion playbooks based on usage milestones and buyer maturity. Real example: A remote patient monitoring company I worked with was stuck at $7M ARR with a 12-month sales cycle. We restructured CS to own expansion. Gave them quotas. Trained them to spot buying signals. Built trigger-based outreach sequences. Within 6 months, 40% of new revenue came from existing accounts. And the CAC? $0. Your existing customers are your lowest-cost path to growth. But only if you treat CS like the revenue engine it should be. Stop thinking ""retention."" Start thinking ""expansion."" Your next $1M in ARR is already in your CRM.",1w,24,5,1,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7384032561913827329/,Me realizing that I waited wayyyyyyy too long to book my travel to HLTH Inc. next week. Maybe I'll win it back at the craps table? Oh well - who wants to meet up? hashtag # hlth,1w,73,17,0,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQGRkqE4oOuzig/feedshare-shrink_800/B4EZnlaekBK0Ag-/0/1760490550084?e=1762992000&v=beta&t=3H38LndPFVJ6zMxAMxu0eIPf2RNhS3kpxUveNFHWZcU
https://www.linkedin.com/feed/update/urn:li:activity:7383939494657490944/,"Why I’m making the switch to concierge care (and why you might want to, too): Over the weekend, I got to attend my friend’s grand opening for her new concierge medicine practice – House of Valor Concierge – right here in Tampa. And honestly, it couldn’t have come at a better time. I barely have time for a bathroom break, let alone juggling scheduling, referrals, and long drives just to see a doctor. The traditional system wasn’t built for people trying to stay proactive about their health while balancing, well, life. As many of you know, I’ve been open about my own health journey – and lately, some of those issues have been getting worse and new confusing symptoms have arose, that are leaving even my endo specialist perplexed on where to refer me to next. I need a true partner in my care. Someone who can build a tailored plan, connect the dots across specialists, and actually see me as a whole person. That’s why I’m partnering with my friend, Dr. Rachel Shelley Dhani, MD CAQSM , and her team at House of Valor. Concierge-level access, functional medicine meets clinical care, and a husband + wife duo that brings it all together – from chiropractic and wellness to peptides, GLP-1 support, and even full executive MRI scans. If you’re in the Tampa area and want healthcare that feels like it’s built around you instead of the other way around, check them out. House of Valor – where modern medicine meets meaningful care. https://lnkd.in/e3A3FS_K",1w,40,1,1,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQEhGC6xnW6VFw/feedshare-shrink_800/B4EZnkFzUoHgAg-/0/1760468360813?e=1762992000&v=beta&t=n7ZpTwqzD8VbDVaSE0q7v2yQqREn8Mzo155obFyXZG8
https://www.linkedin.com/feed/update/urn:li:activity:7383917275235532800/,"You might hear me talk about a notorious CEO we'll call ""Chad."" Chad was building ""Amazon for healthcare."" One app. All healthcare services. Every specialty. Every access point. Consolidated. He told me it would ""shut down all the startups."" When I started the engagement, his Series A company had 14 customers. And 14 completely different use cases. But Chad was convinced he was building the future of healthcare. Here's the problem: Amazon works because buying paper towels, books, and electronics all require the same behavior: browse, click, buy, ship. Healthcare doesn't work that way. Booking a primary care visit is nothing like coordinating specialty care. Which is nothing like managing chronic disease. Which is nothing like urgent care access. Different buyers. Different workflows. Different pain points. Different decision processes. Chad told himself three lies: Lie #1: ""We can serve everyone in healthcare"" His ""horizontal platform"" meant it was for everyone. Except his 14 customers were using it 14 different ways. A 50-bed rural hospital using it for telemedicine. A 15-physician group using it for referral management. An employer using it for navigation. When I told him we needed to pick ONE, he said I ""didn't understand the vision and clearly didn't understand how healthcare works."" Lie #2: ""Our customers all have the same pain point"" They didn't. One bought it for virtual care access. One for care coordination. One for price transparency. One because they had a grant to spend. Real product-market fit is when 10 similar buyers buy for the SAME reason, implement the SAME way, and get the SAME outcome. Chad couldn't articulate that. But he could yell at anyone who asked him to. Lie #3: ""We'll figure out our ICP once we have more customers"" I told Chad: every unfocused customer makes your next sale harder. Your sales team can't build a playbook. Your marketing can't speak to anyone. Your roadmap becomes Frankenstein. Pick ONE customer type. Get 20 wins. Then expand. He told me I was ""thinking too small"" and ""didn't understand platform businesses."" Two weeks later, he fired his VP of Sales for missing quota. I terminated the engagement immediately after. Chad thought he was Bezos. Last I heard, Chad's on his fourth VP of Sales in 18 months. Still has 14 customers. Still convinced he's building Amazon. You don't need a bigger vision. You need the RIGHT customers saying yes for the SAME reason. And the humility to listen when someone tells you the truth.",1w,49,7,1,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7383865259926659072/,"I just reviewed a health tech startup's content library. 47 pieces of content. Zero pipeline contribution. Every single piece answered the question: ""How can we look smart?"" Not one answered: ""How can we help our buyer look smart to THEIR boss?"" The following is honestly for my product marketers. Your buyer isn't trying to buy your product. They're trying to survive a budget meeting. Defend an investment to their CFO. Get buy-in from clinical staff who hate change. Prove to their CEO they didn't waste money. Your content should be their ammunition, not your trophy case. Stop writing: ""Our AI-powered platform leverages machine learning to optimize clinical workflows..."" Start writing: ""How to get your CMIO to say yes: The 3 clinical validation questions you must answer"" Stop creating: Fluffy thought leadership Product feature lists Self-congratulatory case studies Start creating: Internal business case templates your buyer can customize Stakeholder objection handling guides ROI calculators that survive CFO scrutiny Implementation risk assessments they can show their CIO Competitive analysis that positions YOU as the safe choice The metric that matters isn't downloads. You should take a look at your content library and ask yourself: 1. Did your content get forwarded to someone with budget authority? 2. Did it end up in a slide deck defending the purchase? 3. Did it make your champion look credible and prepared? I've watched deals accelerate by 60 days because we gave a VP of Clinical Operations the exact board presentation they needed. We didn't sell. We equipped. Your marketing team should think like an internal consultant to your buyer. Less ""look at us."" More ""here's how to get this approved."" That's how content converts.",1w,56,6,1,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7383823087118647296/,"Your product might be clinically superior. Your pricing might be better. Your implementation timeline might be faster. And you'll still lose the deal. Why? Because you didn't understand the politics. After 16 years in health tech GTM, I can tell you: logic doesn't close healthcare deals. Politics does. Here's what I mean: - The CMIO loves your solution. But the CFO is protecting the budget for a different initiative that makes them look good to the board. - The VP of Clinical Operations sees the value. But they're 6 months from retirement and won't champion anything that creates work for their team. - The Innovation Director is your internal cheerleader. But they have zero buying authority and don't realize it. The best health tech sales reps I know aren't just good at discovery. They're good at power mapping. They ask: 1️⃣ Who actually controls budget allocation? 2️⃣ Who has the CEO's ear? 3️⃣ What political capital will my champion burn by pushing this forward? 4️⃣ Who secretly wants this project to fail, and why? 5️⃣ What org politics am I walking into that have nothing to do with my product? You can't logic someone out of a position they didn't logic themselves into. Sometimes the ""objection"" you're hearing has nothing to do with your product. It's about internal turf wars, legacy vendor relationships, or someone's bonus structure. The founders who master this don't just build better products. They build better stakeholder maps. They understand influence networks. They know when to go around, when to go above, and when to walk away. Healthcare GTM isn't a chess game. It's three-dimensional chess where the board keeps changing and half the pieces have hidden agendas. Learn to play the game, or watch your competition win with an inferior product.",1w,71,16,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7383674511583285248/,"Most teams think they need more AI—when what they really need is to see where their business is bleeding time, context, and consistency. They spend $10K on the latest stack, hand out ChatGPT logins like Halloween candy, and six months later? Nothing’s faster. Just noisier. The problem isn’t AI adoption. It’s that you automated the wrong things. Before you add another bot, do an AI Audit. Find where work actually stalls—those Slack threads, manual spreadsheets, and 45-minute meetings that could’ve been a three-line summary.",2w,9,2,0,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQEhcd-Zd4Wojg/feedshare-shrink_800/B4EZngU1pbKYAg-/0/1760405184233?e=1762992000&v=beta&t=NKUMWcC9xTHGM_yhwiAFQCJZzcysnmfOFu8QkAG-cv4
https://www.linkedin.com/feed/update/urn:li:activity:7383659329977020416/,"Your CMO just presented to the board: 450% increase in LinkedIn engagement 89K impressions last quarter 12% click-through rate 2,400 new newsletter subscribers The board nodded. Approved the budget. Three months later, your pipeline is empty and your VP of Sales is asking where the leads are. And that is happening because your VP of sales is expecting marketing to generate all leads and not actually go out there and generate them on their own. Here's what nobody wants to admit: Most health tech marketing in the STARTUP WORLD is run by people who've never closed a healthcare deal (I said most, not all.... don't come for me 🤣 ) Managed by operators who don't know the difference between a good metric and a vanity metric. So everyone celebrates engagement rates while qualified pipeline sits at zero. The gap: 🔴 Your posts get 10,000 impressions—but your target buyer didn't see one. 🔴 Your newsletter has 2,400 subscribers—but 2,100 are founders, investors, and consultants with zero buying power. 🔴 Your webinar had 300 registrants—but the people who showed up already knew they weren't a fit. What actually matters: 🟢 Not: ""12,000 website visits"" But: ""47 visits from our ICP, 8 downloaded the business case"" 🟢 Not: ""8% LinkedIn engagement"" But: ""6 conversations with target buyers who mentioned our content"" 🟢 Not: ""20 pieces published"" But: ""Sales used 3 in active deals, 2 deals closed citing our content"" Real credibility looks like this: - A CMIO forwards your piece to their team because it named their exact problem (how do you know they forwarded the asset? Well you can track that if you're using Foleon 😉 ) - A buyer uses your template in their CFO meeting—and it works. - A champion quotes you when defending the purchase because you gave them language that survives scrutiny. Healthcare buyers don't trust polish. They trust pattern recognition. Write about the IT security review that added 90 days to your cycle. The budget freeze you didn't see coming. The implementation that went sideways. The founders winning right now aren't the ones with the best engagement rates. They're the ones whose buyers say: ""This person actually gets it."" Credibility compounds. Clicks don't. And when the board asks why pipeline is down, your engagement rate won't save you.",2w,37,2,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7383530416395268096/,"I built my own custom GPT over the weekend to create personal branding content. Thats it, that’s the post. More to come 😂",2w,24,9,0,No,,
https://www.linkedin.com/feed/update/urn:li:activity:7382892534928138240/,"Building a life, not just a business. My husband and I have what we call “boss weekends.” (Yes, I know, millennial alert.) We shut the world out, grab our laptops, and get to work—mapping income goals, travel goals, and the long-term plan for freedom. The kind of freedom that comes from building something together—not just wealth, but creative control and flexibility over our own lives. Rome wasn’t built in a day. And neither are businesses with staying power. But being married to an operations expert means every wild idea I dream up gets pressure-tested, systematized, and turned into something that can actually scale. Add AI into that mix, and we become a triple threat. The process? Messy. The handwriting? Worse. The reward of doing it side by side? Worth every late night. hashtag # EntrepreneurLife hashtag # AIEducation hashtag # BusinessGrowth hashtag # CoupleGoals",2w,21,3,0,Yes,image,https://media.licdn.com/dms/image/v2/D4E22AQHFEb8hm5JW_Q/feedshare-shrink_800/B4EZnVNopGKwAg-/0/1760218746159?e=1762992000&v=beta&t=qlSrYUoAiG-yD62EuDbj3E0rdlTmuH2tfbpSKmhD-E4
